feat_idx,gain,name
0,122512.6328125,log_goal
1,70711.8984375,duration_days
5,55811.70703125,trend_score
9,44107.5859375,has_video
20,26832.3046875,category_name_Food
17,25163.05078125,category_name_Design
26,24503.171875,category_name_Technology
21,21240.837890625,category_name_Games
6,19892.994140625,has_trend
3,16549.1796875,launch_hour
25,16390.470703125,category_name_Publishing
395431,15258.15234375,c:: i 
14,14968.798828125,category_name_Comics
22,11233.8408203125,category_name_Journalism
405271,7289.38134765625,c:: to 
21529,7184.65185546875,w::app
19,7154.7724609375,category_name_Film & Video
465396,6981.5146484375,c::ename
401434,6873.37548828125,c:: pin
2,6790.60791015625,launch_dow
518288,6374.61474609375,c::namel
24,6266.08935546875,category_name_Photography
23,5998.017578125,category_name_Music
11,5924.32373046875,blurb_has_number
18,5792.71044921875,category_name_Fashion
384389,5570.18212890625,c:: - 
40,5153.44921875,country_IT
38,4859.51416015625,country_HK
411790,4736.35205078125,c::'s 
15,4625.70166015625,category_name_Crafts
8,4584.7490234375,blurb_word_count
443131,4432.55419921875,c::book
12,4309.2314453125,blurb_has_exclaim
399301,4273.94580078125,c:: my 
103323,4272.90234375,w::documentary
387985,4251.1123046875,c:: app
408092,4027.5185546875,c:: | 
51,3967.7509765625,country_US
572690,3705.76611328125,c::to 
434325,3569.31787109375,c::app 
405270,3456.385986328125,c:: to
542433,3147.604736328125,c::pins
392496,3054.820556640625,c:: enam
16,2945.9130859375,category_name_Dance
387599,2845.605712890625,c:: albu
522634,2815.867431640625,c::nimat
41,2685.201416015625,country_JP
431764,2651.540283203125,c::amel
393302,2629.54150390625,c:: fi
401816,2453.559326171875,c:: pro
570674,2404.28076171875,c::the 
430454,2365.9326171875,c::album
443132,2300.054931640625,c::book 
555133,2280.12109375,c::rpg
558956,2239.79833984375,c::s: 
405073,2145.8662109375,c:: the
7,2085.606201171875,blurb_readability
387034,2060.72119140625,c:: a 
548987,2048.14697265625,c::rea
431703,1965.0892333984375,c::ame
389678,1945.618408203125,c:: by 
513510,1930.8353271484375,c::mel 
482079,1850.197021484375,c::he 
538490,1812.7203369140625,c::outu
492570,1807.4068603515625,c::ing
405060,1785.9716796875,c:: th
14259,1777.282470703125,w::album
458913,1742.2222900390625,c::e: 
395072,1672.724853515625,c:: hip
34,1670.3363037109375,country_ES
405074,1667.7974853515625,c:: the 
507375,1652.087158203125,c::ll-
582377,1646.4346923828125,c::usi
521459,1642.3975830078125,c::ng 
434917,1628.85595703125,c::ard
261165,1619.005859375,w::platform
395962,1545.32958984375,c:: is 
417746,1543.2760009765625,c::.co
4,1525.0950927734375,launch_month
387954,1522.6658935546875,c:: ap
492571,1522.13037109375,c::ing 
570673,1472.9752197265625,c::the
467221,1469.462646484375,c::er 
544193,1468.101806640625,c::pro
442425,1464.1063232421875,c::ble
529480,1456.3515625,c::of 
387814,1438.7196044921875,c:: an
390372,1431.8902587890625,c:: co
393553,1385.88623046875,c:: food
407742,1376.0467529296875,c:: yo
535151,1371.109619140625,c::or 
399684,1358.8607177734375,c:: new 
519279,1354.7674560546875,c::nd 
235371,1344.5819091796875,w::new
543117,1302.4857177734375,c::poe
521124,1274.4290771484375,c::new 
382978,1269.178466796875,c:: & 
395700,1260.7945556640625,c:: in
387594,1259.738525390625,c:: alb
586869,1255.626953125,c::web
476613,1242.3621826171875,c::gam
432622,1240.463134765625,c::and 
390465,1234.67626953125,c:: comi
432621,1233.9334716796875,c::and
507342,1230.9407958984375,c::ll 
442032,1228.103759765625,c::bile
510542,1206.570556640625,c::lustr
430433,1199.2332763671875,c::alb
595620,1197.6068115234375,c::’s 
389677,1194.99072265625,c:: by
549254,1192.0789794921875,c::recor
460907,1169.827392578125,c::ed 
466225,1153.9200439453125,c::ent
48,1149.72119140625,country_SE
525513,1147.421630859375,c::ntary
565112,1146.529296875,c::st 
430179,1145.2576904296875,c::al 
584926,1133.8143310546875,c::vid
402886,1132.5638427734375,c:: rpg
19212,1117.4886474609375,w::android
387839,1108.88037109375,c:: and 
449950,1100.7027587890625,c::cord
399968,1095.6778564453125,c:: nove
308226,1095.4176025390625,w::short film
116892,1086.5606689453125,w::ep
586395,1081.2847900390625,c::want 
387838,1072.6795654296875,c:: and
401584,1060.6533203125,c:: po
510493,1044.9158935546875,c::lus
591935,1020.385009765625,c::you
443108,1016.0036010742188,c::boo
111323,998.7039184570312,w::edm
400332,988.6104736328125,c:: of 
404007,973.7485961914062,c:: smar
587628,969.1537475585938,c::will 
388622,966.937255859375,c:: bag
281330,955.1875610351562,w::rap
362034,942.2802734375,w::visual novel
36,934.1044311523438,country_GB
389944,931.7227172851562,c:: card
498267,909.8975219726562,c::jewe
460723,909.4560546875,c::ecord
32,904.391357421875,country_DE
408333,900.6746826171875,c:: – 
491881,895.3890991210938,c::in 
474238,894.4013671875,c::film 
515337,877.6923217773438,c::mobi
573298,871.6426391601562,c::tor
493740,870.1378784179688,c::ion
474972,869.5967407226562,c::food
582417,854.8203735351562,c::usin
389351,854.4420166015625,c:: book
444265,852.7572631835938,c::bum
453427,852.4382934570312,c::debu
442033,850.1700439453125,c::bile 
405691,845.3246459960938,c:: two
543706,841.2122192382812,c::pp 
407784,839.67333984375,c:: you
584977,835.7260131835938,c::vie
504006,835.3460083007812,c::lbum
538646,834.8085327148438,c::ovel
400331,832.0506591796875,c:: of
437733,826.3914794921875,c::atio
388020,825.922119140625,c:: ar
567822,816.2672729492188,c::t: 
574380,804.2766723632812,c::try
450336,796.46826171875,c::crea
407022,793.4926147460938,c:: we'
586805,793.0076293945312,c::we'
570497,788.75146484375,c::th 
456631,783.2161254882812,c::dren
440211,782.5286254882812,c::bag
540013,773.798828125,c::pac
538185,761.1784057617188,c::our
389345,759.5670166015625,c:: boo
570633,754.899658203125,c::that
551750,754.140380859375,c::rin
531283,753.675537109375,c::olk
426382,753.3055419921875,c::abo
532412,751.7393798828125,c::on 
517912,744.2496948242188,c::n: 
43,726.9985961914062,country_MX
450346,725.9533081054688,c::creat
393508,725.7625122070312,c:: fo
394944,724.0327758789062,c:: her 
435986,723.32763671875,c::art
495180,721.6649780273438,c::is 
562575,721.607177734375,c::site 
525313,714.9266357421875,c::nt 
389263,705.6430053710938,c:: bo
408615,699.53515625,c::!! 
382516,699.5159301757812,c:: #1
224066,696.3333129882812,w::mobile
546227,693.728515625,c::r: 
469251,693.5944213867188,c::es 
43271,692.2769165039062,w::book
515339,687.4769897460938,c::mobil
44,683.1469116210938,country_NL
408335,681.4817504882812,c:: — 
444594,676.692626953125,c::by 
